id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
57112f7103d57,objTwoColors,#FF0000,3,3,865,5,Red      ,Red      ,0.6,0,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
571130c5cd6e9,objTwoColors,#FF0000,4,353,681,2,Red      ,Red      ,0.59,0,0,0.14,0.15,0.2,0.31,0.31,0.14,0.31,0.31
571130d934bda,objTwoColors,#FF0000,3,4,34,5,Red      ,Red      ,0.59,0,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
571137a34931a,objTwoColors,#FF0000,360,354,613,2,Red      ,Red      ,0.61,0,0,0.14,0.15,0.21,0.32,0.31,0.14,0.31,0.31
57113d4d93c81,objTwoColors,#FF0000,39,344,147,4,Yellow   ,Red      ,0.57,0.02,0.15,0.06,0.08,0.12,0.45,0.44,0.26,0.45,0.44
57113d9cc42b5,objTwoColors,#FF0000,232,96,108,3,Blue     ,Green    ,0.36,0.4,0.32,0.2,0.24,0.15,0.96,0.97,0.92,0.97,0.97
57113de4aed1a,objTwoColors,#FF0000,21,45,46,4,Red      ,Yellow   ,0.38,0.14,0.05,0.06,0.08,0.12,0.38,0.37,0.27,0.37,0.37
571154184c9bd,objTwoColors,#FF0000,344,54,395,1,Red      ,Green    ,0.29,0.06,0.03,0.03,0.06,0.09,0.38,0.38,0.29,0.38,0.38
571158157bb3c,objTwoColors,#FF0000,242,282,646,4,Blue     ,Purple   ,0.66,0.53,0.39,0.25,0.4,0.35,0.69,0.7,0.86,0.71,0.7
571165992a5c1,objTwoColors,#FF0000,347,50,156,3,Red      ,Green    ,0.33,0.05,0.03,0.05,0.07,0.11,0.36,0.35,0.26,0.36,0.35
57116b9b879bf,objTwoColors,#FF0000,343,358,4,3,Red      ,Red      ,0.55,0.02,0.04,0.13,0.13,0.19,0.38,0.38,0.19,0.38,0.38
5711703bd85fc,objTwoColors,#FF0000,337,52,8,1,Red      ,Green    ,0.25,0.04,0.06,0.01,0.05,0.08,0.42,0.43,0.33,0.43,0.43
5711800f2c5f3,objTwoColors,#FF0000,32,220,473,1,Orange   ,Blue     ,0.78,0.33,0.14,0.08,0.17,0.09,0.34,0.35,0.52,0.35,0.35
571183866d73f,objTwoColors,#FF0000,59,36,105,5,Green    ,Yellow   ,0.46,0.23,0.24,0.08,0.13,0.12,0.58,0.57,0.44,0.57,0.57
57122801e1da9,objTwoColors,#FF0000,330,165,291,1,Magenta  ,Green    ,0.36,0.56,0.04,0.1,0.21,0.08,0.42,0.43,0.46,0.43,0.43
57123bec83e8e,objTwoColors,#FF0000,356,357,807,5,Red      ,Red      ,0.6,0,0.01,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
57123e4050550,objTwoColors,#FF0000,331,18,600,1,Magenta  ,Red      ,0.4,0.01,0.09,0.1,0.1,0.14,0.46,0.46,0.27,0.46,0.46
571247f66fb51,objTwoColors,#FF0000,3,8,54,5,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.2,0.32,0.32,0.15,0.32,0.32
571252e6d2e70,objTwoColors,#FF0000,22,332,1197,3,Red      ,Magenta  ,0.57,0,0.07,0.09,0.09,0.14,0.25,0.25,0.06,0.25,0.25
5712787a337a9,objTwoColors,#FF0000,3,12,52,4,Red      ,Red      ,0.57,0.01,0,0.13,0.14,0.2,0.32,0.32,0.15,0.32,0.32
57127bcfaafb0,objTwoColors,#FF0000,357,3,342,5,Red      ,Red      ,0.6,0,0.01,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
571290e28820b,objTwoColors,#FF0000,4,5,161,3,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
5713923c1bbc7,objTwoColors,#FF0000,228,288,623,2,Blue     ,Navy-Blue,0.63,0.54,0.33,0.23,0.38,0.33,0.65,0.66,0.82,0.67,0.66
5713acb331c3c,objTwoColors,#FF0000,56,32,135,1,Green    ,Orange   ,0.47,0.21,0.23,0.08,0.11,0.12,0.57,0.56,0.42,0.56,0.56
5713b10383207,objTwoColors,#FF0000,288,57,661,2,Navy-Blue,Green    ,0.11,0.01,0.27,0.08,0.07,0.05,0.75,0.76,0.66,0.76,0.76
5713b961c216a,objTwoColors,#FF0000,2,10,40,5,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.2,0.32,0.32,0.15,0.32,0.32
571410751e7b0,objTwoColors,#FF0000,218,69,195,2,Blue     ,Yellow   ,0.24,0.41,0.23,0.14,0.2,0.11,0.88,0.88,0.8,0.88,0.88
5716e9900f6ea,objTwoColors,#FF0000,56,310,280,3,Green    ,Pink     ,0.66,0,0.22,0.04,0.04,0.01,0.29,0.28,0.43,0.28,0.28
572106a31c230,objTwoColors,#FF0000,121,52,305,3,Green    ,Green    ,0.46,0.38,0.36,0.13,0.25,0.2,0.75,0.76,0.66,0.76,0.76
5734aa4c927a8,objTwoColors,#FF0000,3,50,145,2,Red      ,Green    ,0.36,0.1,0,0.06,0.08,0.12,0.32,0.32,0.24,0.32,0.32
5734d89183dab,objTwoColors,#FF0000,2,7,185,4,Red      ,Red      ,0.6,0.01,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
5735d3455a84c,objTwoColors,#FF0000,7,7,18,5,Red      ,Red      ,0.59,0.01,0,0.14,0.14,0.2,0.33,0.33,0.15,0.33,0.33
5736048bb110b,objTwoColors,#FF0000,5,3,164,5,Red      ,Red      ,0.6,0,0,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
573607add000c,objTwoColors,#FF0000,3,349,304,5,Red      ,Red      ,0.59,0.01,0.01,0.14,0.14,0.2,0.3,0.3,0.13,0.3,0.3
573634984323e,objTwoColors,#FF0000,4,5,57,5,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
573664e1a4a96,objTwoColors,#FF0000,314,49,67,3,Pink     ,Green    ,0.09,0,0.17,0.02,0.03,0.03,0.6,0.6,0.49,0.6,0.6
57366c199283c,objTwoColors,#FF0000,123,53,123,3,Green    ,Green    ,0.46,0.38,0.36,0.13,0.25,0.2,0.76,0.76,0.66,0.76,0.76
5738cf3d97a58,objTwoColors,#FF0000,8,6,53,5,Red      ,Red      ,0.59,0.01,0.01,0.14,0.14,0.2,0.33,0.33,0.15,0.33,0.33
57427cf6bad0c,objTwoColors,#FF0000,213,58,249,3,Blue     ,Green    ,0.2,0.42,0.21,0.12,0.18,0.09,0.85,0.84,0.76,0.84,0.84
574297edae49c,objTwoColors,#FF0000,7,7,36,5,Red      ,Red      ,0.59,0.01,0,0.14,0.14,0.2,0.33,0.33,0.15,0.33,0.33
5744dce84ffa5,objTwoColors,#FF0000,5,10,50,4,Red      ,Red      ,0.58,0.01,0,0.14,0.14,0.2,0.33,0.32,0.15,0.32,0.32
574511e99b6d9,objTwoColors,#FF0000,353,357,488,5,Red      ,Red      ,0.59,0.01,0.01,0.14,0.15,0.2,0.33,0.33,0.15,0.33,0.33
5745350dc1e22,objTwoColors,#FF0000,4,13,298,5,Red      ,Red      ,0.57,0.01,0,0.13,0.14,0.2,0.32,0.31,0.14,0.31,0.31
57459c393bbd0,objTwoColors,#FF0000,9,3,154,4,Red      ,Red      ,0.6,0.01,0.01,0.14,0.15,0.2,0.34,0.33,0.15,0.33,0.33
5745b5cbe3caa,objTwoColors,#FF0000,1,18,103,3,Red      ,Red      ,0.56,0.02,0,0.12,0.14,0.19,0.31,0.31,0.14,0.31,0.31
5745c1c07cc0c,objTwoColors,#FF0000,5,357,358,5,Red      ,Red      ,0.6,0,0,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
