id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
57110028bc74b,48,Female,32,no,objTwoColors,#00FF80,0,143,262,2,Red      ,Green    ,0.69,0.1,0.07,0.08,0.11,0.16,0.55,0.57,0.56,0.58,0.57,0.59,0.6,0.67,0.6,0.6,0.18,0.19
57112d8509632,45,Female,32,no,objTwoColors,#00FF80,57,190,95,4,Green    ,Sky-Blue ,0.82,0.1,0.28,0.06,0.1,0.11,0.45,0.47,0.46,0.47,0.47,0.24,0.25,0.14,0.25,0.25,0.37,0.38
571154184c9bd,47,Female,32,no,objTwoColors,#00FF80,132,0,16,1,Green    ,Red      ,0.81,0.12,0.4,0.09,0.14,0.18,0.3,0.31,0.31,0.29,0.31,0.41,0.42,0.49,0.42,0.42,0.82,0.82
5711602ded5e3,48,Female,4,no,objTwoColors,#00FF80,0,0,0,5,Red      ,Red      ,0.83,0.39,0.07,0.24,0.3,0.25,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4
571183866d73f,48,Female,32,no,objTwoColors,#00FF80,59,188,155,5,Green    ,Cyan     ,0.81,0.1,0.29,0.06,0.11,0.12,0.43,0.45,0.45,0.45,0.45,0.22,0.23,0.15,0.23,0.23,0.37,0.37
571290e28820b,43,Female,10,no,objTwoColors,#00FF80,57,200,85,5,Green    ,Navy-Blue,0.88,0.1,0.28,0.04,0.08,0.08,0.51,0.53,0.51,0.53,0.53,0.3,0.32,0.19,0.31,0.32,0.43,0.45
5713b10383207,40,Male,32,no,objTwoColors,#00FF80,211,57,99,5,Blue     ,Green    ,0.09,0.08,0.25,0.03,0.06,0.06,0.47,0.48,0.41,0.48,0.48,0.68,0.69,0.71,0.69,0.69,0.72,0.73
5713ce8c57c5e,40,Female,2,no,objTwoColors,#00FF80,209,58,174,5,NA       ,Green    ,0.11,0.08,0.25,0.03,0.07,0.06,0.46,0.47,0.41,0.47,0.47,0.67,0.68,0.69,0.68,0.68,0.71,0.72
5714d563c6e52,49,Female,13,no,objTwoColors,#00FF80,0,150,921,1,Red      ,Teal     ,0.7,0.1,0.08,0.08,0.08,0.14,0.56,0.58,0.57,0.59,0.58,0.55,0.56,0.64,0.56,0.56,0.14,0.15
573c70dabcfe0,49,Male,32,yes,objTwoColors,#00FF9A,74,246,321,3,Yellow   ,Blue     ,1.04,0.06,0.32,0.07,0.08,0.07,0.6,0.61,0.6,0.61,0.61,0.4,0.4,0.29,0.4,0.4,0.65,0.66
5740ad339507d,40,Male,32,yes,objTwoColors,#00FF9A,117,0,136,3,Green    ,Red      ,0.83,0.13,0.41,0.1,0.16,0.18,0.3,0.3,0.33,0.28,0.3,0.41,0.41,0.51,0.41,0.41,0.82,0.83
5740e3f36a945,49,Female,32,yes,objTwoColors,#00FF9A,154,0,45,3,Teal     ,Red      ,0.71,0.09,0.38,0.08,0.07,0.13,0.4,0.41,0.3,0.39,0.41,0.51,0.52,0.48,0.52,0.52,0.79,0.8
5710e540a9514,52,Female,32,no,objTwoColors,#00FF80,179,53,221,4,Blue     ,Green    ,0.31,0.11,0.32,0.07,0.12,0.12,0.3,0.3,0.21,0.29,0.3,0.5,0.5,0.52,0.51,0.5,0.64,0.64
57116ce8cf9e5,50,Female,7,no,objTwoColors,#00FF80,0,136,236,4,Red      ,Green    ,0.7,0.11,0.07,0.09,0.13,0.17,0.56,0.57,0.57,0.58,0.57,0.62,0.63,0.71,0.63,0.63,0.21,0.22
5711800f2c5f3,59,Female,31,no,objTwoColors,#00FF80,212,52,116,3,Blue     ,Green    ,0.11,0.09,0.26,0.02,0.05,0.05,0.5,0.51,0.41,0.5,0.51,0.7,0.7,0.72,0.71,0.7,0.73,0.73
571289ef76e18,55,Female,31,no,objTwoColors,#00FF80,68,214,500,4,Yellow   ,Blue     ,0.97,0.06,0.31,0.04,0.07,0.07,0.55,0.56,0.56,0.56,0.56,0.35,0.35,0.24,0.35,0.35,0.56,0.57
57149713464b1,51,Female,32,no,objTwoColors,#00FF80,0,0,0,1,Red      ,Red      ,0.83,0.39,0.07,0.24,0.3,0.25,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4
5716e9900f6ea,58,Female,31,no,objTwoColors,#00FF80,55,184,133,3,Green    ,Blue     ,0.79,0.11,0.28,0.06,0.11,0.12,0.43,0.44,0.44,0.44,0.44,0.22,0.22,0.18,0.22,0.22,0.33,0.34
57363b3954a26,55,Male,16,no,objTwoColors,#00FF80,188,65,338,3,Cyan     ,Yellow   ,0.25,0.1,0.3,0.06,0.12,0.12,0.34,0.36,0.3,0.37,0.36,0.54,0.54,0.56,0.55,0.54,0.65,0.65
57112b9e10661,64,Female,34,no,objTwoColors,#00FF80,247,55,205,2,Blue     ,Green    ,0.02,0.32,0.37,0.02,0.07,0.05,0.57,0.58,0.5,0.57,0.58,0.77,0.78,0.8,0.78,0.78,0.78,0.78
571165992a5c1,67,Female,32,no,objTwoColors,#00FF80,173,58,92,2,Green    ,Green    ,0.32,0.11,0.34,0.06,0.12,0.15,0.24,0.26,0.2,0.26,0.26,0.45,0.47,0.48,0.47,0.47,0.63,0.63
57153d9a56ce0,62,Female,9,no,objTwoColors,#00FF80,0,164,47,5,Red      ,Green    ,0.74,0.09,0.1,0.07,0.03,0.11,0.6,0.62,0.6,0.63,0.62,0.46,0.47,0.55,0.47,0.47,0.05,0.06
5740b0f8e9734,62,Male,33,yes,objTwoColors,#00FF9A,152,0,347,4,Teal     ,Red      ,0.72,0.1,0.38,0.08,0.08,0.14,0.38,0.4,0.29,0.38,0.4,0.49,0.51,0.47,0.51,0.51,0.79,0.8
5740bda9be3dc,83,Female,32,yes,objTwoColors,#00FF9A,66,188,458,5,Yellow   ,Cyan     ,0.82,0.1,0.31,0.06,0.12,0.13,0.41,0.42,0.42,0.42,0.42,0.2,0.2,0.12,0.2,0.2,0.39,0.4
